"Population1","Population2","Fst"
"MD","SW",0.0887971855601152
"MD","TX",0.0752530830484453
"MD","PL",0.00759353813133264
"MD","PO",0.0274865910194171
"MD","SL",0.00970600363565447
"MD","MK",0.00774049344636535
"MD","TR",0.0196119459027962
"MD","MT",0.00461643469401338
"MD","NC",-0.00117001278695167
"MD","MN",0.00104011397507908
"IL","RN",0.0801528976132984
"IL","SW",0.0912571736521742
"IL","TX",0.078163745847211
"IL","IR",0.0815728571346249
"IL","PL",0.00826318258465375
"IL","PO",0.0310785616385868
"IL","SL",0.00759229900539075
"IL","IT",0.00182539382365493
"IL","MK",0.00531951928481003
"IL","TR",0.015581880473129
"IL","MT",0.00317024114398327
"IL","NC",-0.000966207908308577
"IL","MD",-0.00169997375510358
"IL","MN",0.00106831733537714
"MN","RN",0.101393808997019
"MN","SW",0.114597253419798
"MN","TX",0.0993260179553822
"MN","PL",0.015918731956108
"MN","PO",0.0435104013570497
"MN","SL",0.00273733043320043
"MN","TR",0.0106029468501277
"MN","MT",0.000929168115071496
"MN","NC",-0.000183607443877165
